(5.0000e-01,0)
(5.0834e-01,2.4973e-02)
(5.3224e-01,5.2421e-02)
(5.6887e-01,8.4384e-02)
(6.1464e-01,1.2226e-01)
(6.6601e-01,1.6683e-01)
(7.1993e-01,2.1839e-01)
(7.7390e-01,2.7691e-01)
(8.2592e-01,3.4211e-01)
(8.7436e-01,4.1354e-01)
(9.1792e-01,4.9064e-01)
(9.5556e-01,5.7274e-01)
(9.8643e-01,6.5911e-01)
(1.0098e+00,7.4895e-01)
(1.0253e+00,8.4143e-01)
(1.0323e+00,9.3567e-01)
(1.0308e+00,1.0308e+00)
(1.0204e+00,1.1259e+00)
(1.0012e+00,1.2200e+00)
(9.7325e-01,1.3123e+00)
(9.3668e-01,1.4018e+00)
(8.9177e-01,1.4878e+00)
(8.3886e-01,1.5694e+00)
(7.7840e-01,1.6458e+00)
(7.1089e-01,1.7162e+00)
(6.3693e-01,1.7801e+00)
(5.5717e-01,1.8367e+00)
(4.7232e-01,1.8856e+00)
(3.8316e-01,1.9263e+00)
(2.9048e-01,1.9583e+00)
(1.9515e-01,1.9814e+00)
(9.8025e-02,1.9953e+00)
(0,2.0000e+00)
(-9.8025e-02,1.9953e+00)
(-1.9515e-01,1.9814e+00)
(-2.9048e-01,1.9583e+00)
(-3.8316e-01,1.9263e+00)
(-4.7232e-01,1.8856e+00)
(-5.5717e-01,1.8367e+00)
(-6.3693e-01,1.7801e+00)
(-7.1089e-01,1.7162e+00)
(-7.7840e-01,1.6458e+00)
(-8.3886e-01,1.5694e+00)
(-8.9177e-01,1.4878e+00)
(-9.3668e-01,1.4018e+00)
(-9.7325e-01,1.3123e+00)
(-1.0012e+00,1.2200e+00)
(-1.0204e+00,1.1259e+00)
(-1.0308e+00,1.0308e+00)
(-1.0323e+00,9.3567e-01)
(-1.0253e+00,8.4143e-01)
(-1.0098e+00,7.4895e-01)
(-9.8643e-01,6.5911e-01)
(-9.5556e-01,5.7274e-01)
(-9.1792e-01,4.9064e-01)
(-8.7436e-01,4.1354e-01)
(-8.2592e-01,3.4211e-01)
(-7.7390e-01,2.7691e-01)
(-7.1993e-01,2.1839e-01)
(-6.6601e-01,1.6683e-01)
(-6.1464e-01,1.2226e-01)
(-5.6887e-01,8.4384e-02)
(-5.3224e-01,5.2421e-02)
(-5.0834e-01,2.4973e-02)
(-5.0000e-01,0)
(-5.0834e-01,-2.4973e-02)
(-5.3224e-01,-5.2421e-02)
(-5.6887e-01,-8.4384e-02)
(-6.1464e-01,-1.2226e-01)
(-6.6601e-01,-1.6683e-01)
(-7.1993e-01,-2.1839e-01)
(-7.7390e-01,-2.7691e-01)
(-8.2592e-01,-3.4211e-01)
(-8.7436e-01,-4.1354e-01)
(-9.1792e-01,-4.9064e-01)
(-9.5556e-01,-5.7274e-01)
(-9.8643e-01,-6.5911e-01)
(-1.0098e+00,-7.4895e-01)
(-1.0253e+00,-8.4143e-01)
(-1.0323e+00,-9.3567e-01)
(-1.0308e+00,-1.0308e+00)
(-1.0204e+00,-1.1259e+00)
(-1.0012e+00,-1.2200e+00)
(-9.7325e-01,-1.3123e+00)
(-9.3668e-01,-1.4018e+00)
(-8.9177e-01,-1.4878e+00)
(-8.3886e-01,-1.5694e+00)
(-7.7840e-01,-1.6458e+00)
(-7.1089e-01,-1.7162e+00)
(-6.3693e-01,-1.7801e+00)
(-5.5717e-01,-1.8367e+00)
(-4.7232e-01,-1.8856e+00)
(-3.8316e-01,-1.9263e+00)
(-2.9048e-01,-1.9583e+00)
(-1.9515e-01,-1.9814e+00)
(-9.8025e-02,-1.9953e+00)
(0,-2.0000e+00)
(9.8025e-02,-1.9953e+00)
(1.9515e-01,-1.9814e+00)
(2.9048e-01,-1.9583e+00)
(3.8316e-01,-1.9263e+00)
(4.7232e-01,-1.8856e+00)
(5.5717e-01,-1.8367e+00)
(6.3693e-01,-1.7801e+00)
(7.1089e-01,-1.7162e+00)
(7.7840e-01,-1.6458e+00)
(8.3886e-01,-1.5694e+00)
(8.9177e-01,-1.4878e+00)
(9.3668e-01,-1.4018e+00)
(9.7325e-01,-1.3123e+00)
(1.0012e+00,-1.2200e+00)
(1.0204e+00,-1.1259e+00)
(1.0308e+00,-1.0308e+00)
(1.0323e+00,-9.3567e-01)
(1.0253e+00,-8.4143e-01)
(1.0098e+00,-7.4895e-01)
(9.8643e-01,-6.5911e-01)
(9.5556e-01,-5.7274e-01)
(9.1792e-01,-4.9064e-01)
(8.7436e-01,-4.1354e-01)
(8.2592e-01,-3.4211e-01)
(7.7390e-01,-2.7691e-01)
(7.1993e-01,-2.1839e-01)
(6.6601e-01,-1.6683e-01)
(6.1464e-01,-1.2226e-01)
(5.6887e-01,-8.4384e-02)
(5.3224e-01,-5.2421e-02)
(5.0834e-01,-2.4973e-02)
(5.0000e-01,0)
