   4.0000000e+00   0.0000000e+00   0.0000000e+00
   3.0641778e+00   2.5711504e+00   6.9813170e-01
   6.9459271e-01   3.9392310e+00   1.3962634e+00
  -2.0000000e+00   3.4641016e+00   2.0943951e+00
  -3.7587705e+00   1.3680806e+00   2.7925268e+00
  -3.7587705e+00  -1.3680806e+00   3.4906585e+00
  -2.0000000e+00  -3.4641016e+00   4.1887902e+00
   6.9459271e-01  -3.9392310e+00   4.8869219e+00
   3.0641778e+00  -2.5711504e+00   5.5850536e+00
   6.2601446e+00   1.3306348e+00   3.3510322e+00
   5.1777088e+00   3.7618256e+00   3.7699112e+00
   3.2000000e+00   5.5425626e+00   4.1887902e+00
   6.6898216e-01   6.3649401e+00   4.6076692e+00
  -1.9777088e+00   6.0867617e+00   5.0265482e+00
  -4.2824359e+00   4.7561269e+00   5.4454273e+00
  -5.8466909e+00   2.6031145e+00   5.8643063e+00
  -6.4000000e+00   7.8377395e-16   6.2831853e+00
  -5.8466909e+00  -2.6031145e+00   6.7020643e+00
  -4.2824359e+00  -4.7561269e+00   7.1209433e+00
  -1.9777088e+00  -6.0867617e+00   7.5398224e+00
   6.6898216e-01  -6.3649401e+00   7.9587014e+00
   3.2000000e+00  -5.5425626e+00   8.3775804e+00
   5.1777088e+00  -3.7618256e+00   8.7964594e+00
   6.2601446e+00  -1.3306348e+00   9.2153385e+00
