   1.0046966e+01  -3.0818284e+00   4.6663655e+00   1.1047928e-02  -4.6055985e-03  -4.9710867e-03
   1.0524268e+01  -5.5731579e+00   2.3499104e+00   1.1367604e-02  -1.2723420e-02  -7.6965232e-06
   1.2523797e+01  -2.7999161e+00   5.0671373e+00  -6.3554909e-04  -9.2685583e-03  -9.6231812e-04
   1.4860880e+01  -3.4456826e+00  -2.4808572e+00  -4.0858742e-03  -9.1494499e-03  -1.9181615e-04
   1.6835311e+01  -5.0028125e+00   4.1377945e+00  -1.2495043e-02  -5.1017653e-03   1.2297383e-03
   8.1841990e+00  -4.7119558e+00  -1.4059656e-01   1.2975724e-02   1.6406441e-03  -5.6662433e-03
   9.7505138e+00  -7.9395135e+00   3.0691213e+00   1.7779748e-02  -3.6195380e-03   1.3097098e-03
   1.3059404e+01  -5.1999827e+00   1.2764555e+00  -4.9958086e-03  -1.7884112e-02   1.5107777e-04
   1.5052181e+01  -6.8331072e+00   4.5477126e-01  -9.9326347e-03  -1.5662686e-02   1.0458300e-04
   1.7530236e+01  -7.4200268e+00   2.5809607e+00  -2.2529820e-02  -6.0474764e-03   1.1974704e-03
   7.4319922e+00  -7.1084794e+00  -4.9140550e-01   1.4943812e-02   1.2246549e-02  -8.3203204e-03
   1.4890503e+01  -9.5668090e+00  -7.1034593e-01  -5.0874907e-03   1.6302169e-02   1.8194612e-04
   1.5791026e+01  -1.1797866e+01   1.4797123e+00  -5.9148308e-03   1.4397263e-02  -1.0181624e-04
   1.7291036e+01  -9.8697894e+00  -2.6666019e+00  -1.8434293e-02   9.3157396e-03  -2.5135526e-05
   1.9548338e+01  -1.0871710e+01   4.3576092e+00  -3.8839511e-03   8.7324712e-04   1.0755165e-03
   7.9601509e+00  -9.5068055e+00   1.2189664e+00   2.1464077e-02   1.6897892e-02  -9.7499874e-04
   1.2632248e+01  -1.0529926e+01  -1.7302994e+00  -4.1768393e-03   2.0145419e-02  -1.0741136e-03
   1.3541680e+01  -1.2875738e+01   2.5368761e+00  -3.8110970e-03   1.6214526e-02   2.0326093e-04
   1.8084514e+01  -1.2859649e+01   6.6612950e-01   3.6243629e-04   4.6074441e-03  -3.1677529e-05
   2.0561804e+01  -1.3078664e+01  -3.5598194e+00  -2.1802431e-03   2.0091020e-03   7.7331053e-04
   1.0454869e+01  -1.1732503e+01   5.9191628e+00   1.2365635e-02   2.8394869e-02  -7.1982240e-03
   1.1352034e+01  -1.3998255e+01   1.3313017e+00  -8.6918973e-03   1.6332990e-02  -7.0239830e-03
   1.8798008e+01  -1.5270338e+01  -3.5083568e-01  -3.9043097e-04  -1.2189723e-03  -3.0621491e-05
   1.9890283e+01  -1.7471346e+01   1.3490272e+00  -1.5476279e-02   4.0511975e-04  -7.5199231e-03
   2.1228603e+01  -1.5402811e+01   3.6525831e+00  -2.5630318e-03   2.3340540e-03  -2.9427729e-05
